Passenger Name,	Survival, Status,	Sex,	Age,	Boat Class
Allen Miss. Elisabeth Walton,	yes,	female,	29,	1st
Allison Master. Hudson Trevor,	yes,	male,	0.9167,	1st
Allison, Miss. Helen Loraine	no	female	2	1st
Allison, Mr. Hudson Joshua Crei	no	male	30	1st
Allison, Mrs. Hudson J C (Bessi	no	female	25	1st
Anderson, Mr. Harry	yes	male	48	1st
Andrews, Miss. Kornelia Theodos	yes	female	63	1st
Andrews, Mr. Thomas Jr	no	male	39	1st
Appleton, Mrs. Edward Dale (Cha	yes	female	53	1st
Artagaveytia, Mr. Ramon	no	male	71	1st
Astor, Col. John Jacob	no	male	47	1st
Astor, Mrs. John Jacob (Madelei	yes	female	18	1st
Aubart, Mme. Leontine Pauline	yes	female	24	1st
Barber, Miss. Ellen Nellie	yes	female	26	1st
Barkworth, Mr. Algernon Henry W	yes	male	80	1st
Baumann, Mr. John D	no	male	NA	1st
Baxter, Mr. Quigg Edmond	no	male	24	1st
Baxter, Mrs. James (Helene DeLa	yes	female	50	1st
Bazzani, Miss. Albina	yes	female	32	1st
Beattie, Mr. Thomson	no	male	36	1st
Beckwith, Mr. Richard Leonard	yes	male	37	1st
Beckwith, Mrs. Richard Leonard	yes	female	47	1st
Behr, Mr. Karl Howell	yes	male	26	1st
Bidois, Miss. Rosalie	yes	female	42	1st
